gu,value
종로구,54.1
중구,58.4
용산구,61.1
성동구,59.9
광진구,61.6
동대문구,54.2
중랑구,58.4
성북구,56.0
강북구,52.1
도봉구,57.3
노원구,56.4
은평구,59.6
서대문구,56.7
마포구,61.4
양천구,59.9
강서구,61.5
구로구,62.2
금천구,59.9
영등포구,65.6
동작구,61.0
관악구,57.6
서초구,58.5
강남구,58.9
송파구,61.8
강동구,58.8
