gu,value
종로구,11448200.0
중구,3224500.0
용산구,1791899.9999999998
성동구,3085600.0
광진구,3459899.9999999995
동대문구,1215600.0
중랑구,5226200.0
성북구,8534200.0
강북구,14566600.0
도봉구,10151500.0
노원구,14741500.0
은평구,14398300.0
서대문구,5104700.0
마포구,4569600.0
양천구,3047100.0
강서구,4518700.0
구로구,3712799.9999999995
금천구,2774300.0
영등포구,3002799.9999999995
동작구,4365700.0
관악구,12472700.0
서초구,15074400.000000002
강남구,7806700.0
송파구,4776800.0
강동구,3405800.0
