"행정구역별",2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),실업자(RSE),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),15~64세 고용률 (%),실업률 (％),실업률(RSE)
"부천시",698,425,409,16,-,273,60.9,58.6,67.1,3.8,-
"광명시",252,157,152,5,-,95,62.4,60.5,67.9,3.1,-
"평택시",544,364,352,12,-,180,67.0,64.7,70.1,3.4,-
"동두천시",81,48,46,2,-,33,58.9,56.0,63.0,5.0,-
"안산시",606,395,379,16,-,210,65.3,62.6,68.3,4.1,-
"고양시",916,571,549,22,-,345,62.3,59.9,66.9,3.8,-
"과천시",63,39,38,1,-,24,61.5,60.0,67.5,2.3,-
"구리시",162,105,100,4,-,58,64.5,62.0,68.7,3.9,-
"남양주시",626,389,376,13,-,238,62.1,60.0,68.3,3.2,-
"오산시",225,149,142,7,-,76,66.1,63.1,68.0,4.4,-
"시흥시",485,323,308,15,-,162,66.6,63.6,68.4,4.5,-
"군포시",227,145,138,7,-,82,63.8,60.9,67.7,4.5,-
"의왕시",137,89,87,2,-,48,65.1,63.4,70.5,2.5,-
"하남시",280,184,179,5,-,97,65.6,63.9,71.5,2.5,-
"용인시",962,581,562,19,-,382,60.3,58.4,65.6,3.3,-
"파주시",452,292,280,12,-,159,64.8,62.1,69.2,4.1,-
"이천시",207,140,137,4,-,67,67.8,66.1,72.9,2.5,-
"안성시",196,126,122,4,*,70,64.2,62.4,68.6,2.8,*
"김포시",427,272,261,11,-,155,63.7,61.1,68.0,4.1,-
"화성시",874,600,587,14,-,274,68.7,67.1,71.7,2.3,-
"광주시",355,235,225,10,-,121,66.0,63.2,70.7,4.2,-
"양주시",258,159,154,5,-,99,61.5,59.6,67.2,3.2,-
"포천시",140,91,90,2,*,49,65.3,64.1,73.1,1.8,*
"여주시",106,69,68,1,*,37,64.9,63.8,72.0,1.7,*
"연천군",34,21,20,0,*,14,60.7,59.4,67.9,2.1,*
"가평군",54,34,34,1,*,20,63.5,62.3,71.1,1.8,*
"양평군",111,67,67,1,*,44,60.4,59.7,70.0,1.1,*
"춘천시",256,161,158,3,-,95,62.9,61.7,67.3,2.0,-
"원주시",320,204,198,7,-,115,63.9,61.9,68.0,3.2,-
"강릉시",190,116,114,3,-,74,61.1,59.7,66.7,2.2,-
"동해시",72,46,45,0,*,27,63.0,62.6,68.2,0.7,*
"태백시",34,23,23,0,*,11,67.9,67.6,74.5,0.5,*
"속초시",67,45,44,1,*,22,67.3,66.4,74.5,1.3,*
"삼척시",56,35,35,0,*,21,62.8,62.6,65.7,0.2,*
"홍천군",57,43,42,1,*,15,74.3,73.1,77.0,1.7,*
"횡성군",41,28,27,1,*,14,67.5,66.3,72.0,1.7,*
"영월군",32,23,23,0,*,9,72.7,71.3,75.9,1.8,*
"평창군",36,27,27,0,*,9,75.8,75.7,80.1,0.1,*
"정선군",30,22,22,0,*,8,73.9,73.6,80.7,0.4,*
"철원군",32,22,21,0,*,10,68.5,68.0,71.0,0.7,*
"화천군",16,13,13,0,*,4,77.4,76.7,76.7,0.9,*
"양구군",16,11,11,0,*,4,73.0,71.9,74.6,1.5,*
"인제군",23,17,17,0,*,6,75.4,74.6,78.1,1.0,*
"고성군",25,18,18,0,*,7,72.0,70.3,70.6,2.4,*
"양양군",24,16,16,0,*,8,68.6,67.7,74.6,1.3,*
"청주시",762,513,503,10,-,249,67.3,66.0,72.6,1.9,-
"충주시",191,124,122,2,-,67,65.0,63.8,69.3,1.8,-
"제천시",119,78,77,1,*,41,65.4,64.7,70.5,1.1,*
"보은군",28,20,19,0,*,8,70.9,70.3,76.8,0.9,*
"옥천군",44,30,29,1,*,14,67.4,66.2,71.7,1.7,*
"영동군",40,27,27,0,*,12,68.9,68.4,73.1,0.7,*
