자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-74170,2025.12.5 15:43,2137,KT&G 관악지점,0,2025.12.5 15:48,2179,양녕로 입구,0,5,902.36,1993,M,내국인,ST-723,ST-1548,일반자전거
SPB-73771,2025.12.5 15:02,2136,신림역 8번출구,0,2025.12.5 15:50,2140,신림1교 교차로,0,48,873.8,1965,M,내국인,ST-976,ST-724,일반자전거
SPB-69201,2025.12.5 13:56,2102,봉림교 교통섬,0,2025.12.5 15:54,2176,보라매공원 보도육교,0,118,23279.42,\N,M,내국인,ST-702,ST-1357,일반자전거
SPB-68618,2025.12.5 15:44,2127,난곡종점,0,2025.12.5 15:58,2102,봉림교 교통섬,0,13,2941.75,2002,\N,내국인,ST-707,ST-702,일반자전거
SPB-43840,2025.12.5 15:50,2173,당곡사거리,0,2025.12.5 15:58,2102,봉림교 교통섬,0,8,786.28,1996,,내국인,ST-1268,ST-702,일반자전거
SPB-50313,2025.12.5 15:52,2171,서울대입구역 5번출구,0,2025.12.5 16:02,2137,KT&G 관악지점,0,10,1391.18,\N,M,내국인,ST-1337,ST-723,일반자전거
SPB-59334,2025.12.5 15:46,2173,당곡사거리,0,2025.12.5 16:04,2170,조원동 강남힐병원,0,17,2190.0,1990,F,내국인,ST-1268,ST-1265,일반자전거
SPB-32850,2025.12.5 16:01,2108,은천치안센터,0,2025.12.5 16:06,2109,은천로입구 가로공원,0,5,713.98,1966,F,내국인,ST-714,ST-882,일반자전거
SPB-62401,2025.12.5 15:16,2187,현대시장사거리,0,2025.12.5 16:07,2187,현대시장사거리,0,50,2348.07,1968,M,내국인,ST-2371,ST-2371,일반자전거
SPB-74358,2025.12.5 15:58,2119,중앙동 동진빌딩,0,2025.12.5 16:10,2128,관악구청교차로,0,12,1512.88,1988,M,내국인,ST-884,ST-720,일반자전거
SPB-43198,2025.12.5 16:05,2129,낙성대 과학전시관,0,2025.12.5 16:11,2148,낙성대역 3번출구 뒤,0,6,989.91,\N,\N,\N,ST-721,ST-887,일반자전거
SPB-45616,2025.12.5 16:01,2106,세이브마트,0,2025.12.5 16:13,2170,조원동 강남힐병원,0,11,1135.38,\N,\N,\N,ST-705,ST-1265,일반자전거
SPB-42187,2025.12.5 16:15,2105,미성동 신림체육센터,0,2025.12.5 16:17,2105,미성동 신림체육센터,0,2,0.29,1971,F,내국인,ST-704,ST-704,일반자전거
SPB-62401,2025.12.5 16:12,2187,현대시장사거리,0,2025.12.5 16:17,2108,은천치안센터,0,5,652.01,1949,M,내국인,ST-2371,ST-714,일반자전거
SPB-30076,2025.12.5 16:13,2184,구암초등학교 버스정류장,0,2025.12.5 16:18,2187,현대시장사거리,0,4,253.14,2001,\N,내국인,ST-1702,ST-2371,일반자전거
SPB-38804,2025.12.5 16:02,2143,서울산업정보학교,0,2025.12.5 16:20,2102,봉림교 교통섬,0,17,2010.49,1994,\N,내국인,ST-886,ST-702,일반자전거
SPB-71191,2025.12.5 16:03,2143,서울산업정보학교,0,2025.12.5 16:20,2102,봉림교 교통섬,0,17,2685.42,1996,\N,내국인,ST-886,ST-702,일반자전거
SPB-70698,2025.12.5 16:11,2174,삼성디지털프라자관악점,0,2025.12.5 16:21,2179,양녕로 입구,0,9,2930.0,\N,\N,\N,ST-1269,ST-1548,일반자전거
SPB-74814,2025.12.5 16:17,2190,도원맨션,0,2025.12.5 16:22,2136,신림역 8번출구,0,5,845.69,1992,\N,내국인,ST-2374,ST-976,일반자전거
SPB-51061,2025.12.5 16:02,2167,낙성대역 1번출구,0,2025.12.5 16:29,2165,JK장평타워,0,26,2021.94,1968,M,내국인,ST-1262,ST-1260,일반자전거
SPB-52955,2025.12.5 15:14,2173,당곡사거리,0,2025.12.5 16:30,2102,봉림교 교통섬,0,75,2723.13,\N,M,내국인,ST-1268,ST-702,일반자전거
SPB-55538,2025.12.5 16:26,2137,KT&G 관악지점,0,2025.12.5 16:35,2112,서울대입구역 마에스트로,0,8,1260.0,\N,\N,\N,ST-723,ST-715,일반자전거
SPB-73771,2025.12.5 15:52,2140,신림1교 교차로,0,2025.12.5 16:35,2140,신림1교 교차로,0,42,1119.24,\N,\N,\N,ST-724,ST-724,일반자전거
SPB-68741,2025.12.5 15:40,2176,보라매공원 보도육교,0,2025.12.5 16:37,2176,보라매공원 보도육교,0,57,10952.01,1963,M,내국인,ST-1357,ST-1357,일반자전거
SPB-73792,2025.12.5 16:09,2164,관악우체국,0,2025.12.5 16:38,2173,당곡사거리,0,28,1840.08,1983,M,내국인,ST-1259,ST-1268,일반자전거
SPB-74873,2025.12.5 16:39,2178,서울대학교 정문,0,2025.12.5 16:44,2143,서울산업정보학교,0,4,722.75,\N,\N,\N,ST-1547,ST-886,일반자전거
SPB-74054,2025.12.5 16:34,2176,보라매공원 보도육교,0,2025.12.5 16:44,2175,신림동걷고싶은문화의거리입구,0,10,1199.67,1995,M,내국인,ST-1357,ST-1270,일반자전거
SPB-52955,2025.12.5 16:43,2102,봉림교 교통섬,0,2025.12.5 16:48,2103,신림동 우방아파트,0,5,766.24,1989,M,내국인,ST-702,ST-703,일반자전거
SPB-70640,2025.12.5 16:42,2128,관악구청교차로,0,2025.12.5 16:50,2179,양녕로 입구,0,7,867.34,1999,\N,내국인,ST-720,ST-1548,일반자전거
SPB-47355,2025.12.5 16:44,2173,당곡사거리,0,2025.12.5 16:51,2109,은천로입구 가로공원,0,7,867.8,1989,M,내국인,ST-1268,ST-882,일반자전거
SPB-68734,2025.12.5 16:07,2196,봉천역 3번출구,0,2025.12.5 16:52,2196,봉천역 3번출구,0,44,732.71,1977,M,내국인,ST-2380,ST-2380,일반자전거
SPB-73792,2025.12.5 16:53,2173,당곡사거리,0,2025.12.5 16:58,2102,봉림교 교통섬,0,4,701.16,1978,M,내국인,ST-1268,ST-702,일반자전거
SPB-30117,2025.12.5 16:36,2175,신림동걷고싶은문화의거리입구,0,2025.12.5 17:00,2136,신림역 8번출구,0,24,1344.9,1973,M,내국인,ST-1270,ST-976,일반자전거
SPB-30076,2025.12.5 16:53,2187,현대시장사거리,0,2025.12.5 17:01,2111,서울대입구역 1번출구,0,7,1029.28,2002,M,내국인,ST-2371,ST-965,일반자전거
SPB-54644,2025.12.5 16:44,2136,신림역 8번출구,0,2025.12.5 17:07,2175,신림동걷고싶은문화의거리입구,0,22,332.95,1997,F,내국인,ST-976,ST-1270,일반자전거
SPB-62182,2025.12.5 16:57,2119,중앙동 동진빌딩,0,2025.12.5 17:10,2111,서울대입구역 1번출구,0,13,530.0,\N,\N,\N,ST-884,ST-965,일반자전거
SPB-46237,2025.12.5 16:55,2198,사랑의병원,0,2025.12.5 17:12,2119,중앙동 동진빌딩,0,17,790.0,1988,M,내국인,ST-2382,ST-884,일반자전거
SPB-50313,2025.12.5 16:50,2137,KT&G 관악지점,0,2025.12.5 17:20,2144,난우길입구,0,29,2504.19,1998,F,내국인,ST-723,ST-709,일반자전거
SPB-70562,2025.12.5 17:17,2176,보라매공원 보도육교,0,2025.12.5 17:24,2173,당곡사거리,0,6,1000.0,1997,M,내국인,ST-1357,ST-1268,일반자전거
SPB-63118,2025.12.5 17:23,2102,봉림교 교통섬,0,2025.12.5 17:28,2103,신림동 우방아파트,0,4,878.84,1995,M,내국인,ST-702,ST-703,일반자전거
SPB-50220,2025.12.5 17:28,2103,신림동 우방아파트,0,2025.12.5 17:29,2176,보라매공원 보도육교,0,1,176.46,1990,\N,내국인,ST-703,ST-1357,일반자전거
SPB-72852,2025.12.5 17:33,2176,보라매공원 보도육교,0,2025.12.5 17:37,2176,보라매공원 보도육교,0,3,64.71,\N,M,내국인,ST-1357,ST-1357,일반자전거
SPB-32850,2025.12.5 17:22,2109,은천로입구 가로공원,0,2025.12.5 17:43,2173,당곡사거리,0,21,913.38,1996,M,내국인,ST-882,ST-1268,일반자전거
SPB-60516,2025.12.5 16:47,2173,당곡사거리,0,2025.12.5 17:45,2109,은천로입구 가로공원,0,58,1936.31,1998,M,내국인,ST-1268,ST-882,일반자전거
SPB-68285,2025.12.5 17:30,2112,서울대입구역 마에스트로,0,2025.12.5 17:47,2136,신림역 8번출구,0,17,2035.31,\N,\N,\N,ST-715,ST-976,일반자전거
SPB-42673,2025.12.5 17:05,2172,나들목공원,0,2025.12.5 17:50,2143,서울산업정보학교,0,45,494.96,1986,M,내국인,ST-1267,ST-886,일반자전거
SPB-74460,2025.12.5 17:11,2111,서울대입구역 1번출구,0,2025.12.5 17:51,2111,서울대입구역 1번출구,0,39,1059.03,\N,\N,\N,ST-965,ST-965,일반자전거
SPB-74420,2025.12.5 17:47,2136,신림역 8번출구,0,2025.12.5 17:53,2190,도원맨션,0,5,760.66,1987,M,내국인,ST-976,ST-2374,일반자전거
SPB-55931,2025.12.5 17:39,2169,봉천역 2번출구,0,2025.12.5 17:54,2116,에이스에이존빌딩,0,15,926.55,1985,M,내국인,ST-1264,ST-717,일반자전거
SPB-47355,2025.12.5 17:38,2109,은천로입구 가로공원,0,2025.12.5 17:56,2109,은천로입구 가로공원,0,18,2210.79,\N,M,내국인,ST-882,ST-882,일반자전거
SPB-71191,2025.12.5 17:50,2102,봉림교 교통섬,0,2025.12.5 17:58,2102,봉림교 교통섬,0,7,506.55,2001,M,내국인,ST-702,ST-702,일반자전거
SPB-51337,2025.12.5 17:52,2106,세이브마트,0,2025.12.5 18:09,2102,봉림교 교통섬,0,17,1970.0,1976,M,내국인,ST-705,ST-702,일반자전거
SPB-66494,2025.12.5 18:05,2187,현대시장사거리,0,2025.12.5 18:21,2136,신림역 8번출구,0,16,1920.0,\N,\N,\N,ST-2371,ST-976,일반자전거
SPB-60516,2025.12.5 18:22,2109,은천로입구 가로공원,0,2025.12.5 18:26,2136,신림역 8번출구,0,4,496.38,1978,M,내국인,ST-882,ST-976,일반자전거
SPB-30389,2025.12.5 18:14,2119,중앙동 동진빌딩,0,2025.12.5 18:29,2174,삼성디지털프라자관악점,0,15,2585.3,1994,M,내국인,ST-884,ST-1269,일반자전거
SPB-62844,2025.12.5 18:21,2108,은천치안센터,0,2025.12.5 18:32,2198,사랑의병원,0,10,1310.0,2000,M,내국인,ST-714,ST-2382,일반자전거
SPB-32850,2025.12.5 18:18,2173,당곡사거리,0,2025.12.5 18:33,2179,양녕로 입구,0,14,1988.57,1987,F,내국인,ST-1268,ST-1548,일반자전거
SPB-31169,2025.12.5 18:14,2136,신림역 8번출구,0,2025.12.5 18:37,2136,신림역 8번출구,0,22,3020.82,1977,M,내국인,ST-976,ST-976,일반자전거
SPB-48713,2025.12.5 18:33,2187,현대시장사거리,0,2025.12.5 18:39,2171,서울대입구역 5번출구,0,6,910.0,1963,M,내국인,ST-2371,ST-1337,일반자전거
SPB-74521,2025.12.5 18:36,2169,봉천역 2번출구,0,2025.12.5 18:41,2195,은천교회,0,5,615.24,1991,\N,내국인,ST-1264,ST-2379,일반자전거
SPB-30399,2025.12.5 18:41,2108,은천치안센터,0,2025.12.5 18:46,2171,서울대입구역 5번출구,0,5,847.85,1994,F,내국인,ST-714,ST-1337,일반자전거
SPB-83217,2025.12.5 18:35,2173,당곡사거리,99,2025.12.5 18:47,2108,은천치안센터,99,12,1691.76,1974,\N,내국인,ST-1268,ST-714,새싹자전거
SPB-73792,2025.12.5 18:42,2137,KT&G 관악지점,0,2025.12.5 18:48,2179,양녕로 입구,0,6,1000.31,1997,M,내국인,ST-723,ST-1548,일반자전거
SPB-53811,2025.12.5 17:52,2128,관악구청교차로,0,2025.12.5 18:54,2128,관악구청교차로,0,61,3198.68,1983,F,내국인,ST-720,ST-720,일반자전거
SPB-69236,2025.12.5 18:47,2187,현대시장사거리,0,2025.12.5 18:54,2116,에이스에이존빌딩,0,7,791.75,1978,M,내국인,ST-2371,ST-717,일반자전거
SPB-30117,2025.12.5 18:52,2136,신림역 8번출구,0,2025.12.5 18:55,2109,은천로입구 가로공원,0,3,494.06,1995,M,내국인,ST-976,ST-882,일반자전거
SPB-71644,2025.12.5 18:47,2140,신림1교 교차로,0,2025.12.5 18:55,2136,신림역 8번출구,0,8,350.58,1987,M,내국인,ST-724,ST-976,일반자전거
SPB-68285,2025.12.5 18:49,2136,신림역 8번출구,0,2025.12.5 18:55,2196,봉천역 3번출구,0,5,946.71,1999,F,내국인,ST-976,ST-2380,일반자전거
SPB-46237,2025.12.5 18:53,2119,중앙동 동진빌딩,0,2025.12.5 18:59,2128,관악구청교차로,0,5,580.0,1996,F,내국인,ST-884,ST-720,일반자전거
SPB-47987,2025.12.5 18:48,2129,낙성대 과학전시관,0,2025.12.5 18:59,2111,서울대입구역 1번출구,0,11,1550.0,2003,F,내국인,ST-721,ST-965,일반자전거
SPB-68734,2025.12.5 18:53,2196,봉천역 3번출구,0,2025.12.5 19:05,2175,신림동걷고싶은문화의거리입구,0,11,1506.56,1998,F,내국인,ST-2380,ST-1270,일반자전거
SPB-51070,2025.12.5 18:44,2129,낙성대 과학전시관,0,2025.12.5 19:05,2169,봉천역 2번출구,0,20,2608.37,1997,F,내국인,ST-721,ST-1264,일반자전거
SPB-53811,2025.12.5 18:57,2128,관악구청교차로,0,2025.12.5 19:07,2148,낙성대역 3번출구 뒤,0,9,914.53,2001,M,내국인,ST-720,ST-887,일반자전거
SPB-62401,2025.12.5 17:22,2108,은천치안센터,0,2025.12.5 19:12,2112,서울대입구역 마에스트로,\N,45,693.97,1981,\N,내국인,ST-714,ST-715,일반자전거
SPB-50467,2025.12.5 18:10,2159,인헌초교,0,2025.12.5 19:15,2187,현대시장사거리,0,65,3057.51,1984,M,내국인,ST-1156,ST-2371,일반자전거
SPB-52856,2025.12.5 18:46,2156,신림푸르지오아파트,0,2025.12.5 19:17,2156,신림푸르지오아파트,0,31,2138.79,1957,\N,내국인,ST-952,ST-952,일반자전거
SPB-70562,2025.12.5 18:13,2173,당곡사거리,0,2025.12.5 19:18,2102,봉림교 교통섬,0,64,5010.0,2004,M,내국인,ST-1268,ST-702,일반자전거
SPB-71949,2025.12.5 19:35,2189,봉천역 4번출구,0,2025.12.5 19:37,2179,양녕로 입구,0,2,441.19,\N,\N,\N,ST-2373,ST-1548,일반자전거
SPB-30399,2025.12.5 19:26,2171,서울대입구역 5번출구,0,2025.12.5 19:41,2102,봉림교 교통섬,0,14,2579.28,1993,M,내국인,ST-1337,ST-702,일반자전거
SPB-43675,2025.12.5 19:16,2119,중앙동 동진빌딩,0,2025.12.5 19:42,2104,사당역 5번출구,0,26,3194.37,1981,M,내국인,ST-884,ST-712,일반자전거
SPB-60123,2025.12.5 19:39,2109,은천로입구 가로공원,0,2025.12.5 19:42,2190,도원맨션,0,3,470.0,1997,\N,내국인,ST-882,ST-2374,일반자전거
SPB-74521,2025.12.5 19:41,2195,은천교회,0,2025.12.5 19:46,2169,봉천역 2번출구,0,5,725.08,2000,\N,내국인,ST-2379,ST-1264,일반자전거
SPB-34409,2025.12.5 19:34,2136,신림역 8번출구,0,2025.12.5 19:51,2137,KT&G 관악지점,0,17,705.09,1985,F,내국인,ST-976,ST-723,일반자전거
SPB-73792,2025.12.5 19:49,2179,양녕로 입구,0,2025.12.5 19:52,2111,서울대입구역 1번출구,0,3,593.65,1999,\N,내국인,ST-1548,ST-965,일반자전거
SPB-60652,2025.12.5 18:05,2102,봉림교 교통섬,0,2025.12.5 19:54,2174,삼성디지털프라자관악점,0,109,1273.24,1996,\N,내국인,ST-702,ST-1269,일반자전거
SPB-73075,2025.12.5 18:43,2170,조원동 강남힐병원,0,2025.12.5 19:57,2170,조원동 강남힐병원,0,73,3393.8,1998,\N,내국인,ST-1265,ST-1265,일반자전거
SPB-39025,2025.12.5 18:55,2128,관악구청교차로,0,2025.12.5 19:57,2128,관악구청교차로,0,62,3289.16,1983,F,내국인,ST-720,ST-720,일반자전거
SPB-74873,2025.12.5 19:53,2143,서울산업정보학교,0,2025.12.5 19:59,2178,서울대학교 정문,0,5,789.4,1996,\N,내국인,ST-886,ST-1547,일반자전거
SPB-70562,2025.12.5 19:19,2102,봉림교 교통섬,0,2025.12.5 20:00,2173,당곡사거리,0,40,2750.0,2004,M,내국인,ST-702,ST-1268,일반자전거
SPB-60516,2025.12.5 18:35,2136,신림역 8번출구,0,2025.12.5 20:02,2173,당곡사거리,0,87,2980.6,\N,\N,\N,ST-976,ST-1268,일반자전거
SPB-66122,2025.12.5 19:57,2102,봉림교 교통섬,0,2025.12.5 20:04,2109,은천로입구 가로공원,0,7,791.71,1991,M,내국인,ST-702,ST-882,일반자전거
SPB-66141,2025.12.5 18:55,2105,미성동 신림체육센터,0,2025.12.5 20:04,2144,난우길입구,0,68,8387.4,\N,\N,\N,ST-704,ST-709,일반자전거
SPB-82284,2025.12.5 19:34,2199,신봉천주유소 A,99,2025.12.5 20:05,2199,신봉천주유소 A,99,30,4000.0,2000,F,내국인,ST-2383,ST-2383,새싹자전거
SPB-67129,2025.12.5 19:49,2110,조원동 미성아파트,0,2025.12.5 20:05,2106,세이브마트,0,16,2082.54,1975,M,내국인,ST-950,ST-705,일반자전거
SPB-70446,2025.12.5 19:39,2106,세이브마트,0,2025.12.5 20:07,2106,세이브마트,0,27,3212.24,1988,M,내국인,ST-705,ST-705,일반자전거
SPB-70963,2025.12.5 20:01,2189,봉천역 4번출구,0,2025.12.5 20:08,2109,은천로입구 가로공원,0,6,668.95,1999,F,내국인,ST-2373,ST-882,일반자전거
SPB-47355,2025.12.5 20:04,2109,은천로입구 가로공원,0,2025.12.5 20:11,2173,당곡사거리,0,7,846.2,\N,\N,\N,ST-882,ST-1268,일반자전거
SPB-58519,2025.12.5 18:57,2110,조원동 미성아파트,0,2025.12.5 20:12,2110,조원동 미성아파트,0,75,1360.0,1986,F,내국인,ST-950,ST-950,일반자전거
SPB-71084,2025.12.5 18:59,2102,봉림교 교통섬,0,2025.12.5 20:14,2102,봉림교 교통섬,0,74,13588.08,\N,\N,\N,ST-702,ST-702,일반자전거
SPB-50467,2025.12.5 19:17,2187,현대시장사거리,0,2025.12.5 20:18,2187,현대시장사거리,0,62,4776.1,1984,M,내국인,ST-2371,ST-2371,일반자전거
SPB-60516,2025.12.5 20:13,2173,당곡사거리,0,2025.12.5 20:19,2109,은천로입구 가로공원,0,6,855.9,1999,\N,내국인,ST-1268,ST-882,일반자전거
SPB-51337,2025.12.5 20:15,2164,관악우체국,0,2025.12.5 20:20,2174,삼성디지털프라자관악점,0,4,690.0,1994,M,내국인,ST-1259,ST-1269,일반자전거
SPB-72905,2025.12.5 18:44,2115,관악구시설관리공단,0,2025.12.5 20:28,2110,조원동 미성아파트,0,103,2119.92,1988,F,내국인,ST-883,ST-950,일반자전거
SPB-58322,2025.12.5 20:22,2169,봉천역 2번출구,0,2025.12.5 20:29,2136,신림역 8번출구,0,6,1158.98,\N,\N,\N,ST-1264,ST-976,일반자전거
SPB-57784,2025.12.5 20:22,2169,봉천역 2번출구,0,2025.12.5 20:29,2136,신림역 8번출구,0,7,1168.54,\N,\N,\N,ST-1264,ST-976,일반자전거
SPB-34409,2025.12.5 20:22,2137,KT&G 관악지점,0,2025.12.5 20:31,2116,에이스에이존빌딩,0,9,1406.7,2000,M,내국인,ST-723,ST-717,일반자전거
SPB-37645,2025.12.5 19:41,2179,양녕로 입구,0,2025.12.5 20:33,2169,봉천역 2번출구,0,51,264.72,1965,\N,내국인,ST-1548,ST-1264,일반자전거
SPB-58903,2025.12.5 20:13,2164,관악우체국,0,2025.12.5 20:34,2136,신림역 8번출구,0,21,1380.0,1985,,내국인,ST-1259,ST-976,일반자전거
SPB-81756,2025.12.5 20:28,2171,서울대입구역 5번출구,99,2025.12.5 20:36,2108,은천치안센터,99,8,1050.0,\N,M,내국인,ST-1337,ST-714,새싹자전거
SPB-69236,2025.12.5 20:29,2116,에이스에이존빌딩,0,2025.12.5 20:36,2187,현대시장사거리,0,6,935.91,1978,M,내국인,ST-717,ST-2371,일반자전거
SPB-71644,2025.12.5 20:35,2136,신림역 8번출구,0,2025.12.5 20:42,2175,신림동걷고싶은문화의거리입구,0,7,460.36,2000,F,내국인,ST-976,ST-1270,일반자전거
SPB-71949,2025.12.5 20:36,2179,양녕로 입구,0,2025.12.5 20:45,2195,은천교회,0,8,1088.54,1988,M,내국인,ST-1548,ST-2379,일반자전거
SPB-53967,2025.12.5 20:39,2171,서울대입구역 5번출구,0,2025.12.5 20:47,2196,봉천역 3번출구,0,8,1161.05,\N,\N,\N,ST-1337,ST-2380,일반자전거
SPB-59943,2025.12.5 20:36,2129,낙성대 과학전시관,0,2025.12.5 20:48,2169,봉천역 2번출구,0,11,2480.0,\N,\N,\N,ST-721,ST-1264,일반자전거
SPB-53246,2025.12.5 20:39,2116,에이스에이존빌딩,0,2025.12.5 20:48,2137,KT&G 관악지점,0,9,1311.0,1996,M,내국인,ST-717,ST-723,일반자전거
SPB-74029,2025.12.5 20:08,2140,신림1교 교차로,0,2025.12.5 20:49,2136,신림역 8번출구,0,41,2371.79,1989,\N,내국인,ST-724,ST-976,일반자전거
SPB-66122,2025.12.5 20:17,2109,은천로입구 가로공원,0,2025.12.5 20:50,2108,은천치안센터,0,32,1674.32,\N,\N,\N,ST-882,ST-714,일반자전거
SPB-69132,2025.12.5 20:36,2102,봉림교 교통섬,0,2025.12.5 20:51,2102,봉림교 교통섬,0,15,625.54,1995,M,내국인,ST-702,ST-702,일반자전거
SPB-70562,2025.12.5 20:44,2173,당곡사거리,0,2025.12.5 20:51,2109,은천로입구 가로공원,0,6,760.0,\N,F,내국인,ST-1268,ST-882,일반자전거
SPB-70640,2025.12.5 20:35,2179,양녕로 입구,0,2025.12.5 20:52,2111,서울대입구역 1번출구,0,17,1213.86,\N,M,내국인,ST-1548,ST-965,일반자전거
SPB-74460,2025.12.5 20:45,2111,서울대입구역 1번출구,0,2025.12.5 20:53,2112,서울대입구역 마에스트로,0,8,264.72,2003,F,내국인,ST-965,ST-715,일반자전거
SPB-55270,2025.12.5 20:40,2140,신림1교 교차로,0,2025.12.5 21:01,2140,신림1교 교차로,0,20,882.42,1998,M,내국인,ST-724,ST-724,일반자전거
SPB-66122,2025.12.5 20:56,2108,은천치안센터,0,2025.12.5 21:05,2111,서울대입구역 1번출구,0,9,879.97,1995,\N,내국인,ST-714,ST-965,일반자전거
SPB-63616,2025.12.5 20:47,2128,관악구청교차로,0,2025.12.5 21:06,2179,양녕로 입구,0,18,791.66,1999,\N,내국인,ST-720,ST-1548,일반자전거
SPB-64832,2025.12.5 20:59,2191,대학동주민센터,0,2025.12.5 21:06,2172,나들목공원,0,7,88.25,\N,M,내국인,ST-2375,ST-1267,일반자전거
SPB-60514,2025.12.5 20:41,2186,낙성대입구삼거리,0,2025.12.5 21:09,2186,낙성대입구삼거리,0,28,1970.0,\N,M,내국인,ST-2370,ST-2370,일반자전거
SPB-57889,2025.12.5 20:52,2108,은천치안센터,0,2025.12.5 21:15,2108,은천치안센터,0,23,1917.21,1937,M,내국인,ST-714,ST-714,일반자전거
SPB-32005,2025.12.5 21:07,2189,봉천역 4번출구,0,2025.12.5 21:15,2136,신림역 8번출구,0,8,936.87,2003,F,내국인,ST-2373,ST-976,일반자전거
SPB-45444,2025.12.5 21:06,2108,은천치안센터,0,2025.12.5 21:15,2173,당곡사거리,0,9,1535.16,1995,F,내국인,ST-714,ST-1268,일반자전거
SPB-42760,2025.12.5 21:08,2189,봉천역 4번출구,0,2025.12.5 21:16,2136,신림역 8번출구,0,7,946.58,2003,F,내국인,ST-2373,ST-976,일반자전거
SPB-71010,2025.12.5 21:11,2145,은천초등학교 육교,0,2025.12.5 21:18,2195,은천교회,0,6,900.0,1994,M,내국인,ST-725,ST-2379,일반자전거
SPB-71881,2025.12.5 21:11,2108,은천치안센터,0,2025.12.5 21:18,2195,은천교회,0,7,786.47,1965,M,내국인,ST-714,ST-2379,일반자전거
SPB-43198,2025.12.5 21:10,2148,낙성대역 3번출구 뒤,0,2025.12.5 21:21,2111,서울대입구역 1번출구,0,10,977.91,1995,M,내국인,ST-887,ST-965,일반자전거
SPB-60516,2025.12.5 21:21,2109,은천로입구 가로공원,0,2025.12.5 21:24,2136,신림역 8번출구,0,3,561.52,1993,M,내국인,ST-882,ST-976,일반자전거
SPB-67313,2025.12.5 21:20,2169,봉천역 2번출구,0,2025.12.5 21:25,2195,은천교회,0,4,160.0,2000,\N,내국인,ST-1264,ST-2379,일반자전거
SPB-54644,2025.12.5 21:21,2175,신림동걷고싶은문화의거리입구,0,2025.12.5 21:26,2102,봉림교 교통섬,0,5,391.04,\N,\N,\N,ST-1270,ST-702,일반자전거
SPB-62846,2025.12.5 21:20,2122,낙성대로 입구,0,2025.12.5 21:27,2111,서울대입구역 1번출구,0,6,680.0,\N,\N,\N,ST-719,ST-965,일반자전거
SPB-70562,2025.12.5 21:26,2109,은천로입구 가로공원,0,2025.12.5 21:32,2174,삼성디지털프라자관악점,0,5,670.0,\N,\N,\N,ST-882,ST-1269,일반자전거
SPB-60516,2025.12.5 21:30,2136,신림역 8번출구,0,2025.12.5 21:42,2109,은천로입구 가로공원,0,11,638.87,1995,F,내국인,ST-976,ST-882,일반자전거
SPB-71861,2025.12.5 21:38,2190,도원맨션,0,2025.12.5 21:42,2164,관악우체국,0,3,463.58,1993,M,내국인,ST-2374,ST-1259,일반자전거
SPB-52856,2025.12.5 21:28,2156,신림푸르지오아파트,0,2025.12.5 21:44,2140,신림1교 교차로,0,15,2324.17,1992,M,내국인,ST-952,ST-724,일반자전거
SPB-52955,2025.12.5 21:37,2103,신림동 우방아파트,0,2025.12.5 21:45,2173,당곡사거리,0,8,617.6,2005,F,내국인,ST-703,ST-1268,일반자전거
SPB-50822,2025.12.5 21:38,2170,조원동 강남힐병원,0,2025.12.5 21:47,2106,세이브마트,0,9,1203.38,1990,M,내국인,ST-1265,ST-705,일반자전거
SPB-30208,2025.12.5 21:51,2112,서울대입구역 마에스트로,0,2025.12.5 21:56,2169,봉천역 2번출구,0,4,757.71,1965,M,내국인,ST-715,ST-1264,일반자전거
SPB-65791,2025.12.5 19:23,2105,미성동 신림체육센터,0,2025.12.5 22:02,2170,조원동 강남힐병원,0,159,951.25,1979,M,내국인,ST-704,ST-1265,일반자전거
SPB-74123,2025.12.5 21:20,2191,대학동주민센터,0,2025.12.5 22:05,2136,신림역 8번출구,0,44,2743.4,1998,M,내국인,ST-2375,ST-976,일반자전거
SPB-42485,2025.12.5 22:02,2109,은천로입구 가로공원,0,2025.12.5 22:05,2189,봉천역 4번출구,0,3,625.55,2000,F,내국인,ST-882,ST-2373,일반자전거
SPB-52588,2025.12.5 22:00,2178,서울대학교 정문,0,2025.12.5 22:07,2185,대학동 고시촌,0,7,1114.54,1996,\N,내국인,ST-1547,ST-1757,일반자전거
SPB-60516,2025.12.5 21:51,2109,은천로입구 가로공원,0,2025.12.5 22:09,2176,보라매공원 보도육교,0,17,1953.45,1990,M,내국인,ST-882,ST-1357,일반자전거
SPB-30389,2025.12.5 21:04,2174,삼성디지털프라자관악점,0,2025.12.5 22:11,2173,당곡사거리,0,66,2702.18,\N,\N,\N,ST-1269,ST-1268,일반자전거
SPB-65289,2025.12.5 22:11,2189,봉천역 4번출구,0,2025.12.5 22:17,2109,은천로입구 가로공원,0,6,580.72,1995,M,내국인,ST-2373,ST-882,일반자전거
SPB-54744,2025.12.5 22:07,2145,은천초등학교 육교,0,2025.12.5 22:17,2136,신림역 8번출구,0,10,1152.32,1992,F,내국인,ST-725,ST-976,일반자전거
SPB-72579,2025.12.5 21:59,2106,세이브마트,0,2025.12.5 22:20,2176,보라매공원 보도육교,0,21,2306.75,\N,\N,내국인,ST-705,ST-1357,일반자전거
