자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-67833,2025.12.1 1:49,2104,사당역 5번출구,0,2025.12.1 2:10,2104,사당역 5번출구,0,21,2785.88,1997,F,내국인,ST-712,ST-712,일반자전거
SPB-58344,2025.12.1 2:02,2102,봉림교 교통섬,0,2025.12.1 2:14,2106,세이브마트,0,12,2010.09,1997,\N,내국인,ST-702,ST-705,일반자전거
SPB-53922,2025.12.1 1:54,2103,신림동 우방아파트,0,2025.12.1 2:15,2103,신림동 우방아파트,0,20,1870.95,1997,M,내국인,ST-703,ST-703,일반자전거
SPB-73987,2025.12.1 2:06,2173,당곡사거리,0,2025.12.1 2:18,2112,서울대입구역 마에스트로,0,12,2295.87,\N,\N,\N,ST-1268,ST-715,일반자전거
SPB-44771,2025.12.1 2:01,2136,신림역 8번출구,0,2025.12.1 2:27,2191,대학동주민센터,0,26,2615.75,1971,\N,내국인,ST-976,ST-2375,일반자전거
SPB-31927,2025.12.1 2:23,2179,양녕로 입구,0,2025.12.1 2:30,2136,신림역 8번출구,0,6,1574.53,2006,M,내국인,ST-1548,ST-976,일반자전거
SPB-47186,2025.12.1 2:00,2187,현대시장사거리,0,2025.12.1 2:31,2187,현대시장사거리,0,31,3646.94,\N,M,내국인,ST-2371,ST-2371,일반자전거
SPB-38804,2025.12.1 2:13,2136,신림역 8번출구,0,2025.12.1 2:32,2143,서울산업정보학교,0,19,1871.85,\N,\N,\N,ST-976,ST-886,일반자전거
SPB-46888,2025.12.1 2:12,2140,신림1교 교차로,0,2025.12.1 2:33,2105,미성동 신림체육센터,0,20,1916.5,\N,\N,\N,ST-724,ST-704,일반자전거
SPB-42708,2025.12.1 2:31,2171,서울대입구역 5번출구,0,2025.12.1 2:37,2199,신봉천주유소 A,0,5,666.37,1966,M,내국인,ST-1337,ST-2383,일반자전거
SPB-68431,2025.12.1 2:31,2136,신림역 8번출구,0,2025.12.1 2:41,2140,신림1교 교차로,0,9,656.05,1981,M,내국인,ST-976,ST-724,일반자전거
SPB-65582,2025.12.1 2:05,2127,난곡종점,0,2025.12.1 2:48,2127,난곡종점,0,43,2834.89,1965,\N,내국인,ST-707,ST-707,일반자전거
SPB-61105,2025.12.1 2:43,2195,은천교회,0,2025.12.1 2:49,2140,신림1교 교차로,0,5,1079.21,2000,M,내국인,ST-2379,ST-724,일반자전거
SPB-36041,2025.12.1 1:56,2173,당곡사거리,0,2025.12.1 2:55,2173,당곡사거리,0,59,0.1,1999,M,내국인,ST-1268,ST-1268,일반자전거
SPB-57248,2025.12.1 1:57,2173,당곡사거리,0,2025.12.1 2:55,2173,당곡사거리,0,58,1400.0,2001,F,내국인,ST-1268,ST-1268,일반자전거
SPB-35406,2025.12.1 3:09,2174,삼성디지털프라자관악점,0,2025.12.1 3:12,2174,삼성디지털프라자관악점,0,2,0.0,1978,\N,내국인,ST-1269,ST-1269,일반자전거
SPB-65164,2025.12.1 3:08,2148,낙성대역 3번출구 뒤,0,2025.12.1 3:14,2111,서울대입구역 1번출구,0,5,1010.85,\N,\N,\N,ST-887,ST-965,일반자전거
SPB-43067,2025.12.1 3:10,2106,세이브마트,0,2025.12.1 3:18,2127,난곡종점,0,7,937.2,\N,\N,비회원,ST-705,ST-707,일반자전거
