대여소_번호,대여소_ID,대여소명,자치구,Capa,일평균_순유입량,순유입량_표준편차,n_days,t_statistic,p_value_two_sided,net_flow_group,반납_우세_비율(%),대여_우세_비율(%),매핑상태
1444,ST-1095,면목4치안센터,중랑구,10,32.9,29.69,304,19.320683764565597,9.168206010479299e-55,+_순유입/과적,90.88,6.76,매핑완료
2217,ST-749,아크로리버뷰 부지 앞,서초구,20,32.76,44.97,304,12.70158144455348,6.339626674246198e-30,+_순유입/과적,77.36,19.59,매핑완료
3511,ST-1195,응봉역 1번출구,성동구,10,32.54,41.92,304,13.534214849505107,5.754119139465716e-33,+_순유입/과적,80.07,18.92,매핑완료
2032,ST-923,이수역 11번출구쪽,동작구,10,31.87,36.47,304,15.236425481836172,2.6004913544733957e-39,+_순유입/과적,83.11,14.86,매핑완료
154,ST-211,마포구청역,마포구,13,31.73,32.16,304,17.202470581908656,9.531116347731609e-47,+_순유입/과적,86.49,11.82,매핑완료
5765,ST-3162,삼전동주민센터 건너편,송파구,12,31.24,36.83,304,14.789248221146961,1.2423020824453464e-37,+_순유입/과적,80.74,16.55,매핑완료
1019,ST-502,다성이즈빌아파트(호원대 대각선 맞은편),강동구,10,31.09,35.37,304,15.325775307286353,1.19883076122885e-39,+_순유입/과적,81.42,16.22,매핑완료
2819,ST-1959,하늘숲초등학교 앞,구로구,20,31.03,31.97,304,16.922944537762543,1.0941352516331164e-45,+_순유입/과적,84.46,11.15,매핑완료
209,ST-55,유진투자증권빌딩 앞,영등포구,12,30.64,56.9,304,9.388869147984973,1.5067890073587602e-18,+_순유입/과적,76.69,20.61,매핑완료
712,ST-319,강월초교입구 사거리,양천구,14,30.55,27.21,304,19.575797534019493,1.0032064180490965e-55,+_순유입/과적,89.53,7.43,매핑완료
2525,ST-1910,반포쇼핑타운 2동 앞,서초구,20,30.41,47.94,304,11.060001407849137,4.126276281835869e-24,+_순유입/과적,72.97,24.32,매핑완료
1438,ST-596,홈플러스 신내점 앞,중랑구,15,30.29,35.41,304,14.914549449290824,4.211382940207978e-38,+_순유입/과적,82.15,15.15,매핑완료
2106,ST-705,세이브마트,관악구,12,30.0,28.77,304,18.181017491306253,1.8605957888178191e-50,+_순유입/과적,88.18,9.8,매핑완료
143,ST-201,공덕역 2번출구,마포구,9,29.64,27.43,304,18.840359414735047,5.957779750715365e-53,+_순유입/과적,87.16,11.15,매핑완료
1931,ST-920,개봉역2번출구 A,구로구,10,29.33,30.26,304,16.89973641957012,1.3398629628658938e-45,+_순유입/과적,87.5,10.14,매핑완료
4536,ST-2961,양천해누리체육공원,양천구,23,28.98,39.77,304,12.70514371474063,6.1540677670063404e-30,+_순유입/과적,82.09,14.53,매핑완료
643,ST-410,동대문구민체육센터 (육교아래),동대문구,10,28.95,36.09,304,13.986159536215295,1.2282403612090958e-34,+_순유입/과적,79.39,17.91,매핑완료
1991,ST-1526,오류동역 맞은편,구로구,13,28.68,30.51,304,16.389802910619014,1.1465329043574804e-43,+_순유입/과적,83.45,12.84,매핑완료
3681,ST-2749,길동 마루빌딩,강동구,10,28.5,43.05,304,11.542728909724435,8.633655240224502e-26,+_순유입/과적,76.35,20.61,매핑완료
2058,ST-1150,동작경찰서,동작구,14,28.33,32.65,304,15.128650177091245,6.61267006112362e-39,+_순유입/과적,84.46,13.18,매핑완료
3900,ST-3351,건국대학교 신공학관,광진구,10,28.32,41.73,304,11.832640122796251,8.216026171457359e-27,+_순유입/과적,75.68,18.24,매핑완료
1601,ST-600,석계역 문화광장 내 자전거 보관소,노원구,10,28.17,42.18,304,11.644398600240947,3.7932032303260794e-26,+_순유입/과적,79.39,19.93,매핑완료
1452,ST-1335,겸재교 진입부,중랑구,25,28.13,36.1,304,13.58624125006085,3.700697496822042e-33,+_순유입/과적,77.36,18.24,매핑완료
3906,ST-2435,천왕차량사업소 입구,구로구,8,28.12,20.19,304,24.28375201433655,4.5372587069478305e-73,+_순유입/과적,96.28,2.03,매핑완료
703,ST-311,오목교역 7번출구 앞,양천구,12,28.08,42.89,304,11.41505081227532,2.415937800429943e-25,+_순유입/과적,70.95,27.03,매핑완료
4108,ST-2501,답십리파크자이아파트 앞,동대문구,10,28.01,45.51,304,10.731070921430392,5.533960140986267e-23,+_순유입/과적,70.27,27.03,매핑완료
1986,ST-1521,태평양물산빌딩,구로구,15,27.9,58.18,304,8.361174322776542,2.2861753684953978e-15,+_순유입/과적,76.01,20.27,매핑완료
1021,ST-504,강일동 리슈빌 빌딩앞,강동구,15,27.63,30.74,304,15.671617151597767,5.956468114212256e-41,+_순유입/과적,85.81,12.16,매핑완료
592,ST-974,건국대학교 학생회관,광진구,30,27.27,40.99,304,11.59962665921973,5.450586584865982e-26,+_순유입/과적,73.99,19.59,매핑완료
3528,ST-1602,광진정보도서관,광진구,8,27.18,24.78,304,19.124273330982327,5.0468709877529125e-54,+_순유입/과적,86.82,9.12,매핑완료
1321,ST-655,국민은행 종암동지점 앞,성북구,14,26.84,28.75,304,16.277265759253105,3.0582253294329135e-43,+_순유입/과적,83.78,13.18,매핑완료
5066,ST-2945,아망떼마곡전시장,강서구,25,26.63,45.69,304,10.162178057910978,4.543008609396377e-21,+_순유입/과적,79.73,17.91,매핑완료
1451,ST-1334,중랑세무서,중랑구,10,26.61,31.3,304,14.82304164697985,9.280704593676249e-38,+_순유입/과적,80.07,18.24,매핑완료
678,ST-2278,장안힐스테이트(아) 앞,동대문구,21,26.42,34.19,304,13.473192171786444,9.651613834235955e-33,+_순유입/과적,83.45,13.85,매핑완료
825,ST-442,서빙고동 주민센터 앞,용산구,15,26.3,37.22,304,12.32015499356472,1.503498554612928e-28,+_순유입/과적,75.34,21.28,매핑완료
4566,ST-2816,대림성원상떼빌아파트,영등포구,15,26.28,32.43,304,14.129122940024535,3.617286991146904e-35,+_순유입/과적,82.09,15.88,매핑완료
583,ST-376,청계천 생태교실 앞,성동구,20,26.05,40.33,304,11.262020082244934,8.244924006726252e-25,+_순유입/과적,73.99,24.66,매핑완료
1157,ST-1069,강서구청,강서구,8,25.88,43.92,304,10.273980387871825,1.927108987600288e-21,+_순유입/과적,76.01,21.96,매핑완료
3908,ST-2753,오류동 다숲오피스텔 앞,구로구,10,25.88,28.13,304,16.040996041071118,2.395664398304474e-42,+_순유입/과적,83.78,12.5,매핑완료
4893,ST-2972,문정법조단지12,송파구,6,25.87,57.59,304,7.832242796971505,8.137704813426124e-14,+_순유입/과적,67.57,28.04,매핑완료
4007,ST-2702,노원 을지대학교 병원,노원구,9,25.52,30.53,304,14.574399087999737,7.9130770878743e-37,+_순유입/과적,81.42,16.22,매핑완료
5768,ST-3214,방이삼거리,송파구,12,25.39,51.77,304,8.55108705246264,6.126368886080324e-16,+_순유입/과적,69.59,26.69,매핑완료
950,ST-1036,구산역 2번 출구 예일여고 버스정류장,은평구,10,25.29,29.39,304,15.003273804987225,1.9562105016758044e-38,+_순유입/과적,77.03,15.88,매핑완료
1440,ST-942,면목2동 사거리,중랑구,10,25.23,27.85,304,15.795335058604122,2.0317946904955413e-41,+_순유입/과적,80.41,17.23,매핑완료
1308,ST-827,안암로터리 버스정류장 앞,성북구,16,25.15,39.56,304,11.08456101416056,3.394754132362223e-24,+_순유입/과적,73.31,21.96,매핑완료
4137,ST-3316,답십리역 4번출구,동대문구,10,25.01,35.85,304,12.163577414555343,5.466644309843379e-28,+_순유입/과적,73.99,22.64,매핑완료
4377,ST-3003,우영테크노센터 앞,성동구,8,24.9,42.96,304,10.105827159605473,6.987631765105789e-21,+_순유입/과적,72.97,22.97,매핑완료
4520,ST-2770,대성유니드아파트,양천구,10,24.77,25.94,304,16.649179156746722,1.193418743187003e-44,+_순유입/과적,84.46,11.82,매핑완료
5080,ST-3084,가양역 1번출구,강서구,10,24.77,33.75,304,12.796435772622518,2.8719246677014528e-30,+_순유입/과적,77.7,18.58,매핑완료
3789,ST-2494,염창나들목,강서구,35,24.65,45.77,304,9.39015590633844,1.492598815529771e-18,+_순유입/과적,72.3,25.34,매핑완료
780,ST-2006,신정교 하부,양천구,15,24.54,34.88,304,12.266901384689005,2.333651188720412e-28,+_순유입/과적,78.72,19.26,매핑완료
905,ST-453,구파발역 2번출구,은평구,10,24.43,40.11,304,10.619586256863492,1.3238987504281655e-22,+_순유입/과적,74.32,23.31,매핑완료
4540,ST-3104,목동역 3번 출구,양천구,10,24.17,43.92,304,9.595135470435164,3.277773575197591e-19,+_순유입/과적,72.64,24.32,매핑완료
