gu,factor,value,unit,source,year
종로구,registered_foreigners_ratio_pct,7.569,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
중구,population_total,125941,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
중구,area_km2,9.96,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
중구,population_density_per_km2,12644.7,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
중구,centroid_lat,37.555264,deg,frontend/public/seoul_gu_simple.geojson,2013
중구,centroid_lon,126.996292,deg,frontend/public/seoul_gu_simple.geojson,2013
중구,dist_to_cityhall_km,2.033,km,computed_from_centroid,2013
중구,registered_foreigners_total,10484,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
중구,registered_foreigners_ratio_pct,8.325,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
중랑구,population_total,405118,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
중랑구,area_km2,18.50,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
중랑구,population_density_per_km2,21898.3,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
중랑구,centroid_lat,37.595720,deg,frontend/public/seoul_gu_simple.geojson,2013
중랑구,centroid_lon,127.098593,deg,frontend/public/seoul_gu_simple.geojson,2013
중랑구,dist_to_cityhall_km,11.127,km,computed_from_centroid,2013
중랑구,registered_foreigners_total,6636,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
중랑구,registered_foreigners_ratio_pct,1.638,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
